"product_id","sku","product_name","source_product_title","slug","category","plan_tier","subscription_duration","duration_months","access_type","delivery_method","credits_or_usage_limit","key_features","short_description","full_description","price_pkr","compare_at_price_pkr","discount_percent","image_url","image_alt_text","source_product_url","source_rating_count","data_verification_status","requires_supplier_confirmation"
"heygen-ai","ATP-HEYGEN-AI","HeyGen AI","HeyGen AI","heygen-ai","AI Video","Creator / Pro / Pro Plus","1 month","1","Private access","WhatsApp activation","600–2000 credits","AI avatars; text to video; presentations; creator video","AI avatar and text-to-video tool for creator workflows.","HeyGen AI is listed for buyers who need avatar videos, text-to-video workflows and creator-friendly video production support.","7400","10000","26","/assets/product-icons/heygen-ai.png","HeyGen AI brand icon","https://heygen.com","0","Verified","no"
"supergrok","ATP-SUPERGROK","SuperGrok","SuperGrok","supergrok","AI Assistants","SuperGrok plan","1–3 months","1","Private access","WhatsApp activation","Advanced Grok access","AI assistant; research; social workflows; current topics","Grok assistant access for current-topic and social workflows.","SuperGrok is listed for buyers comparing advanced AI assistants for research, current-topic workflows and productivity. Confirm platform requirements before payment.","2500","3500","29","/assets/product-icons/supergrok.png","SuperGrok brand icon","https://x.ai","0","Confirm before ordering","yes"
"google-ai-ultra-plan","ATP-GOOGLE-AI-ULTRA","Google AI Ultra Plan","Google AI Ultra","google-ai-ultra-plan","AI Assistants","Ultra plan","1 month","1","Private access","WhatsApp activation","Google AI Ultra access","Google AI; advanced models; productivity; research; premium tier above Gemini Pro","Google AI Ultra access for advanced Google AI workflows.","Google AI Ultra Plan delivers the higher Google AI tier for advanced workflows, above the standard Gemini Pro plan, with PKR pricing and WhatsApp order support in Pakistan. Confirm current availability, access method and limits before ordering. If the standard Gemini Pro tier meets your needs, the separate Gemini Pro listing is the more affordable option.","1764","2400","27","/assets/product-icons/google-ai-ultra-plan.png","Google AI Ultra Plan brand icon","https://one.google.com/about/google-ai-plans","0","Confirm before ordering","yes"
"netflix","ATP-NETFLIX-1SCREEN","Netflix Premium 4K — 1 Month","Netflix Premium 4K","netflix","Entertainment","Premium 4K plan","1 month","1","Private access","WhatsApp activation","1 month access","Streaming; movies; series; 4K plan details confirmed before ordering","Netflix Premium 4K monthly access for entertainment.","Netflix Premium 4K is listed with a clear PKR price, one-month duration and WhatsApp order support. Confirm the current plan details, availability and delivery method before ordering. Netflix is an entertainment service, not an AI tool.","400","700","43","/assets/product-icons/netflix.png","Netflix Premium 4K — 1 Month brand icon","https://www.netflix.com/","0","Confirm before ordering","yes"
"capcut-pro","ATP-CAPCUT-PRO","CapCut Pro — 1 Month","CapCut Pro","capcut-pro","AI Video","Pro plan","1 month","1","Private access","WhatsApp activation","1 month access","Video editing; templates; effects; AI captions","Professional video editing with AI-powered tools and templates for one month.","CapCut Pro is listed for one month with PKR pricing and WhatsApp order support. Confirm current plan access, availability and delivery details before ordering.","900","1500","40","/assets/product-icons/capcut-pro.png","CapCut Pro — 1 Month brand icon","https://www.capcut.com","0","Confirm before ordering","yes"
"claude-20x-max","ATP-CLAUDE-20X-MAX","Claude 20X Max Plan","Claude 20X Max Plan","claude-20x-max","AI Assistants","20X Max plan","1 month","1","Private access","WhatsApp activation","20x usage limit","Claude AI; 20x usage; coding; research; long writing","Claude Max plan with 20x usage for heavy AI workloads.","Claude 20X Max Plan is the highest-tier Claude subscription offering 20x the standard usage limits. Ideal for developers, researchers and power users who need maximum AI capacity.","45000","57000","30","/assets/product-icons/claude-20x-max.png","Claude 20X Max Plan brand icon","https://claude.ai","0","Verified","no"
"veo-3-ultra","ATP-VEO3-ULTRA","Veo 3 Ultra – Official Paid Invite","Veo 3 Ultra","veo-3-ultra","AI Video","Ultra invite","Credit-based","0","Private access","WhatsApp activation","200–1000 credits","Veo 3 official; paid invite; AI video; premium access","Official Veo 3 paid invite access with credit-based pricing tiers.","Veo 3 Ultra gives official paid invite access to Google's Veo 3 AI video generation. Choose from credit tiers to match your production needs.","8500","12000","29","/assets/product-icons/gemini-pro.png","Gemini Pro logo","https://deepmind.google/technologies/veo/","0","Verified","no"
"prime-video","ATP-PRIME-VIDEO","Prime Video","Prime Video","prime-video","Entertainment","Standard plan","1 month","1","Private access","WhatsApp activation","1 screen","Streaming; movies; series; Amazon originals; not an AI tool","Amazon Prime Video streaming access for movies and series.","Prime Video provides access to Amazon's streaming library including original series, movies and exclusive content with a monthly subscription in Pakistan. Note: Prime Video is a streaming service, not an AI tool. AI Tools Pak also lists AI subscriptions if you need AI software for work or study.","400","700","43","/assets/product-icons/prime-video.png","Prime Video brand icon","https://www.primevideo.com","0","Verified","no"
"helium-10-platinum","ATP-HELIUM10-PLAT","Helium 10 Platinum","Helium 10 Platinum","helium-10-platinum","Marketing and Lead Generation","Platinum plan","1 month","1","Private access","WhatsApp activation","Amazon seller tools","Amazon FBA; product research; keyword tracking; listing optimization","Amazon seller toolkit for product research and listing optimization.","Helium 10 Platinum provides Amazon sellers with product research, keyword tracking, listing optimization and competitive analysis tools for FBA businesses.","2500","4000","38","/assets/product-icons/helium-10-platinum.png","Helium 10 Platinum brand icon","https://www.helium10.com","0","Verified","no"
"helium-10-diamond","ATP-HELIUM10-DIAMOND","Helium 10 Diamond","Helium 10 Diamond","helium-10-diamond","Marketing and Lead Generation","Diamond plan","1 month","1","Private access","WhatsApp activation","Advanced Amazon tools","Amazon FBA; advanced analytics; multi-user; inventory management","Advanced Amazon seller suite with expanded tools and analytics.","Helium 10 Diamond is the advanced tier for serious Amazon sellers, offering expanded analytics, multi-user access, inventory management and full-suite seller tools.","4500","7000","36","/assets/product-icons/helium-10-diamond.png","Helium 10 Diamond brand icon","https://www.helium10.com","0","Verified","no"
"runway-ml-max","ATP-RUNWAY-ML-MAX","Runway ML Max","Runway Max","runway-ml-max","AI Video","Max plan","1 month","1","Private access","WhatsApp activation","9500 credits","AI video; generation; editing; 9500 credits; rollover","Runway ML Max AI video generation with 9,500 monthly credits.","Runway ML Max includes 9,500 credits per month with unused credits rolling over for one month, first access to newest models and highest generation volume. Official Runway Max pricing is USD 76/month (~PKR 21,115) — AI Tools Pak lists it at PKR 14,000 with full private access and warranty.","14000","21115","34","/assets/product-icons/runway-ml-max.png","Runway ML Max brand icon","https://runwayml.com","0","Verified","no"
"canva-pro","ATP-CANVA-PRO","Canva Pro","Canva Pro","canva-pro","AI Images and Design","Pro plan","1 month","1","Private access","WhatsApp activation","1 month access","Design tools; templates; brand tools; content creation","Canva Pro monthly plan with PKR pricing and WhatsApp order support.","Canva Pro is listed for buyers in Pakistan who need a monthly design-tool subscription. Confirm current plan access, availability and delivery details before ordering.","900","","","/assets/product-icons/canva-pro.jpg","Canva Pro brand icon","https://www.canva.com/pro/","0","Confirm before ordering","yes"
"leonardo-ai-essential-8500-credits","ATP-LEONARDO-ESS-8500","Leonardo AI Essential — 8,500 Credits","Leonardo AI Essential","leonardo-ai-essential-8500-credits","AI Images and Design","Essential plan","","","Private access","WhatsApp activation","8,500 credits","AI images; 8,500 credits; design workflows","Leonardo AI Essential plan with 8,500 credits and PKR pricing.","Leonardo AI Essential is listed as a distinct credit-based plan for buyers in Pakistan. Confirm current credit allocation, access method and delivery details before ordering.","1900","","","/assets/product-icons/leonardo-ai-essential-8500-credits.png","Leonardo AI Essential — 8,500 Credits brand icon","https://leonardo.ai/","0","Confirm before ordering","yes"
"nordvpn-3-months","ATP-NORDVPN-3M","NordVPN — 3 Months","NordVPN","nordvpn-3-months","VPN & Privacy","3-month plan","3 months","3","Private access","WhatsApp activation","3 months access","VPN; privacy; 3 months","NordVPN plan with a three-month duration and PKR pricing.","NordVPN is listed for buyers in Pakistan who need a three-month VPN and privacy plan. Confirm availability, account access and delivery details before ordering.","1800","","","/assets/product-icons/nordvpn-3-months.png","NordVPN — 3 Months brand icon","https://nordvpn.com/","0","Confirm before ordering","yes"
"surfshark-vpn-2-months","ATP-SURFSHARK-2M","Surfshark VPN — 2 Months","Surfshark VPN","surfshark-vpn-2-months","VPN & Privacy","2-month plan","2 months","2","Private access","WhatsApp activation","2 months access","VPN; privacy; 2 months","Surfshark VPN plan with a two-month duration and PKR pricing.","Surfshark VPN is listed for buyers in Pakistan who need a two-month VPN and privacy plan. Confirm availability, account access and delivery details before ordering.","800","","","/assets/product-icons/surfshark-vpn-2-months.png","Surfshark VPN — 2 Months brand icon","https://surfshark.com/","0","Confirm before ordering","yes"
"youtube-premium-3-months","ATP-YOUTUBE-PREM-3M","YouTube Premium — 3 Months","YouTube Premium","youtube-premium-3-months","Entertainment","3-month plan","3 months","3","Private access","WhatsApp activation","3 months access","Video; music; ad-free viewing; 3 months","YouTube Premium plan with a three-month duration and PKR pricing.","YouTube Premium is listed for buyers in Pakistan who need a three-month entertainment plan. Confirm availability, account access and delivery details before ordering.","1200","","","/assets/product-icons/youtube-premium-3-months.png","YouTube Premium — 3 Months brand icon","https://www.youtube.com/premium","0","Confirm before ordering","yes"
"canva-pro-edu-1-year","ATP-CANVA-EDU-1Y","Canva Pro Edu — 1 Year Invite","Canva for Education","canva-pro-edu-1-year","AI Images and Design","Education invite","1 year","12","Invite access","WhatsApp activation","1 year invite","Design tools; education invite; 1 year","Canva Pro Edu invite with a one-year duration and PKR pricing.","Canva Pro Edu is listed as a distinct one-year invite plan. Confirm eligibility, availability, access method and delivery details before ordering.","900","","","/assets/product-icons/canva-pro-edu-1-year.jpg","Canva Pro Edu — 1 Year Invite brand icon","https://www.canva.com/education/","0","Confirm before ordering","yes"
"replit-core-40-credits","ATP-REPLIT-CORE-40","Replit Core — $40 Credits","Replit Core","replit-core-40-credits","Development and Coding","Credit plan","","","Private access","WhatsApp activation","$40 credits","Coding; app development; $40 credits","Replit Core credit plan with PKR pricing.","Replit Core is listed as a distinct $40 credit plan for coding and app-development workflows. Confirm current credit allocation, availability and delivery details before ordering.","3200","","","/assets/product-icons/replit-core-40-credits.png","Replit Core — $40 Credits brand icon","https://replit.com/","0","Confirm before ordering","yes"
"figma-pro-2-years-private","ATP-FIGMA-PRO-2Y","Figma Pro — 2 Years Private","Figma Pro","figma-pro-2-years-private","Development and Coding","Pro plan","2 years","24","Private access","WhatsApp activation","2 years access","Design collaboration; prototyping; 2 years","Figma Pro private plan with a two-year duration and PKR pricing.","Figma Pro is listed for a two-year private-access plan. Confirm current plan access, availability and delivery details before ordering.","3000","","","/assets/product-icons/figma-pro-2-years-private.png","Figma Pro — 2 Years Private brand icon","https://www.figma.com/","0","Confirm before ordering","yes"
"notion-business-3-months","ATP-NOTION-BIZ-3M","Notion Business — 3 Months","Notion Business","notion-business-3-months","Productivity","Business plan","3 months","3","Private access","WhatsApp activation","3 months access","Workspace; collaboration; 3 months","Notion Business plan with a three-month duration and PKR pricing.","Notion Business is listed for a three-month workspace and collaboration plan. Confirm current plan access, availability and delivery details before ordering.","2200","","","/assets/product-icons/notion-business-3-months.png","Notion Business — 3 Months brand icon","https://www.notion.com/pricing","0","Confirm before ordering","yes"
"chatgpt-plus-apple-account","ATP-CHATGPT-APPLE","ChatGPT Plus — Apple Paid Account","ChatGPT Plus","chatgpt-plus-apple-account","AI Assistants","Apple paid account","Confirm before ordering","","Private access","WhatsApp activation","20-day warranty","AI assistant; Apple paid account; 20-day warranty","ChatGPT Plus Apple paid account with PKR pricing and a stated 20-day warranty.","ChatGPT Plus Apple Paid Account is listed as a distinct option with a stated 20-day warranty. Confirm current availability, delivery method and warranty terms before ordering.","2300","","","/assets/product-icons/chatgpt-plus-apple-account.png","ChatGPT Plus — Apple Paid Account brand icon","https://chatgpt.com/","0","Confirm before ordering","yes"
"adobe-creative-2-months","ATP-ADOBE-CREATIVE-2M","Adobe Creative — 2 Months","Adobe Creative Cloud","adobe-creative-2-months","AI Images and Design","Creative plan","2 months","2","Private access","WhatsApp activation","2 months access","Creative tools; design; 2 months","Adobe Creative plan with a two-month duration and PKR pricing.","Adobe Creative is listed for buyers in Pakistan who need a two-month creative-tools plan. Confirm included applications, availability and delivery details before ordering.","1700","","","/assets/product-icons/adobe-creative-2-months.png","Adobe Creative — 2 Months brand icon","https://www.adobe.com/creativecloud.html","0","Confirm before ordering","yes"
"windows-11-pro-license-key","ATP-WINDOWS11-PRO","Windows 11 Pro — Official License Key","Windows 11 Pro","windows-11-pro-license-key","Software","Pro license","","","License key","WhatsApp delivery","License key","Windows; Pro license key","Windows 11 Pro license key with PKR pricing.","Windows 11 Pro license key is listed with PKR pricing and WhatsApp delivery. Confirm current availability, activation terms and delivery details before ordering.","1900","","","/assets/product-icons/windows-11-pro-license-key.png","Windows 11 Pro — Official License Key brand icon","https://www.microsoft.com/windows/windows-11","0","Confirm before ordering","yes"
"linkedin-premium-2-months","ATP-LINKEDIN-PREM-2M","LinkedIn Premium — 2 Months","LinkedIn Premium","linkedin-premium-2-months","Productivity","Premium plan","2 months","2","Private access","WhatsApp activation","2 months access","Career tools; professional networking; 2 months","LinkedIn Premium plan with a two-month duration and PKR pricing.","LinkedIn Premium is listed for a two-month professional-networking plan. Confirm current plan access, availability and delivery details before ordering.","1500","","","/assets/product-icons/linkedin-premium-2-months.png","LinkedIn Premium — 2 Months brand icon","https://www.linkedin.com/premium/","0","Confirm before ordering","yes"
"replit-core-1-year","ATP-REPLIT-CORE-1Y","Replit Core — 1 Year","Replit Core","replit-core-1-year","Development and Coding","Core plan","1 year","12","Private access","WhatsApp activation","1 year access","Coding; app development; 1 year","Replit Core plan with a one-year duration and PKR pricing.","Replit Core is listed as a distinct one-year coding and app-development plan. Confirm current plan access, availability and delivery details before ordering.","12000","","","/assets/product-icons/replit-core-1-year.png","Replit Core — 1 Year brand icon","https://replit.com/","0","Confirm before ordering","yes"
"n8n-starter-1-year","ATP-N8N-STARTER-1Y","n8n Starter — 1 Year","n8n Starter","n8n-starter-1-year","Automation","Starter plan","1 year","12","Private access","WhatsApp activation","1 year access","Automation; workflows; 1 year","n8n Starter plan with a one-year duration and PKR pricing.","n8n Starter is listed for a one-year automation plan. Confirm current workflow limits, availability and delivery details before ordering.","7000","","","/assets/product-icons/n8n-starter-1-year.png","n8n Starter — 1 Year brand icon","https://n8n.io/pricing/","0","Confirm before ordering","yes"
"manus-ai-pro-1-year","ATP-MANUS-PRO-1Y","Manus AI Pro — 1 Year","Manus AI Pro","manus-ai-pro-1-year","AI Assistants","Pro plan","1 year","12","Private access","WhatsApp activation","1 year access","AI assistant; 1 year","Manus AI Pro plan with a one-year duration and PKR pricing.","Manus AI Pro is listed for a one-year AI assistant plan. Confirm current plan access, availability and delivery details before ordering.","13000","","","/assets/product-icons/manus-ai-pro-1-year.png","Manus AI Pro — 1 Year brand icon","https://manus.im/","0","Confirm before ordering","yes"
"adobe-creative-1-year","ATP-ADOBE-CREATIVE-1Y","Adobe Creative — 1 Year","Adobe Creative Cloud","adobe-creative-1-year","AI Images and Design","Creative plan","1 year","12","Private access","WhatsApp activation","1 year access","Creative tools; design; 1 year","Adobe Creative plan with a one-year duration and PKR pricing.","Adobe Creative is listed for buyers in Pakistan who need a one-year creative-tools plan. Confirm included applications, availability and delivery details before ordering.","25000","","","/assets/product-icons/adobe-creative-1-year.png","Adobe Creative — 1 Year brand icon","https://www.adobe.com/creativecloud.html","0","Confirm before ordering","yes"
"gamma-pro-1-year","ATP-GAMMA-PRO-1Y","Gamma Pro — 1 Year","Gamma Pro","gamma-pro-1-year","Productivity","Pro plan","1 year","12","Private access","WhatsApp activation","1 year access","Presentations; documents; 1 year","Gamma Pro plan with a one-year duration and PKR pricing.","Gamma Pro is listed for a one-year presentation and document-creation plan. Confirm current plan access, availability and delivery details before ordering.","23000","","","/assets/product-icons/gamma-pro-1-year.jpg","Gamma Pro — 1 Year brand icon","https://gamma.app/","0","Confirm before ordering","yes"
"ideogram-ai-plus-private","ATP-IDEOGRAM-AI","Ideogram AI Plus","Ideogram AI Plus","ideogram-ai-plus-private","AI Images and Design","Plus plan","1 month","1","Shared / Private","WhatsApp activation","AI image design tools","AI images; text in images; design; creative assets","AI image design access for creative visual work.","Ideogram AI Plus is useful for image generation, creative graphics and text-focused AI image workflows with PKR pricing support.","1500","5000","70","/assets/product-icons/ideogram-ai-plus-private.png","Ideogram AI Plus brand icon","https://ideogram.ai","0","Verified","no"
"success-ai-starter-leads","ATP-SUCCESS-AI","Success.ai Starter Leads","Success.ai Starter","success-ai-starter-leads","Marketing and Lead Generation","Starter leads","1 month","1","Private access","WhatsApp activation","2,000 contacts","Lead generation; outreach; email leads; sales workflow","Lead generation subscription for outreach and sales workflows.","Success.ai Starter Leads is listed for marketers and agencies that need lead generation and outreach workflow support with clear access terms.","2400","3000","20","/assets/product-icons/success-ai-starter-leads.png","Success.ai Starter Leads brand icon","https://success.ai","0","Verified","no"
"vidiq","ATP-VIDIQ","vidIQ","vidIQ","vidiq","Marketing and Lead Generation","YouTube growth plan","1 month","1","Private access","WhatsApp activation","YouTube SEO tools","YouTube SEO; keyword ideas; channel growth; content planning","YouTube growth and SEO tool for creators in Pakistan.","vidIQ helps YouTube creators research video ideas, improve titles and plan channel growth. Confirm current access details before ordering.","2159","2600","17","/assets/product-icons/vidiq.png","vidIQ brand icon","https://vidiq.com","0","Confirm before ordering","yes"
"playht","ATP-PLAYHT","PlayHT","PlayHT","playht","AI Voice","Voice generation plan","1 month","1","Private access","WhatsApp activation","AI voice generation","AI voice; text to speech; narration; dubbing","AI voice generation tool for narration and audio content.","PlayHT is useful for creators and businesses that need text-to-speech, narration and AI voice workflows. Confirm usage limits and access before payment.","3960","4800","18","/assets/product-icons/playht.png","PlayHT brand icon","https://play.ht","0","Confirm before ordering","yes"
"wordai","ATP-WORDAI","WordAI","WordAI","wordai","Writing and SEO","Writing plan","1 month","1","Private access","WhatsApp activation","Article rewriting tools","Rewriting; article spinning; SEO writing; content refresh","AI rewriting tool for article and SEO content workflows.","WordAI is useful for rewriting and content-refresh workflows. Buyers should confirm access details, limits and use case suitability before ordering.","600","900","33","/assets/product-icons/wordai.png","WordAI brand icon","https://wordai.com","0","Confirm before ordering","yes"
"jasper-ai","ATP-JASPER-AI","Jasper AI","Jasper AI","jasper-ai","Writing and SEO","AI copywriting plan","1 month","1","Private access","WhatsApp activation","AI copywriting tools","Copywriting; marketing content; brand voice; campaigns","AI copywriting tool for marketing and content workflows.","Jasper AI helps marketers, writers and agencies draft campaign copy, brand content and marketing ideas. Confirm plan limits and access before payment.","600","900","33","/assets/product-icons/jasper-ai.png","Jasper AI brand icon","https://jasper.ai","0","Confirm before ordering","yes"
"hailuo-ai","ATP-HAILUO-AI","Hailuo AI","Hailuo AI","hailuo-ai","AI Video","AI video plan","1 month","1","Private access","WhatsApp activation","AI video generation","AI video; prompts; creative clips; video generation","AI video generation tool for creator experiments and clips.","Hailuo AI is useful for AI video generation experiments, prompt-based creative clips and creator workflows. Confirm credits, limits and access before payment.","2040","2800","27","/assets/product-icons/hailuo-ai.png","Hailuo AI brand icon","https://hailuoai.video","0","Confirm before ordering","yes"
"dzine-master","ATP-DZINE-MASTER","Dzine Master","Dzine Master","dzine-master","AI Images and Design","Master plan","1 month","1","Private access","WhatsApp activation","Full design suite","AI design; image editing; creative tools; templates","AI-powered design suite for professional image creation and editing.","Dzine Master provides a complete AI design toolkit for creating professional graphics, editing images and accessing premium design templates and tools.","5000","7000","29","/assets/product-icons/dzine-master.png","Dzine Master brand icon","https://www.dzine.ai","0","Verified","no"
"storyblocks-unlimited","ATP-STORYBLOCKS","Storyblocks Unlimited","Storyblocks Unlimited","storyblocks-unlimited","AI Video","Unlimited plan","1 month","1","Private access","WhatsApp activation","Unlimited downloads","Stock video; stock audio; templates; unlimited downloads; stock media (not AI generation)","Unlimited stock video, audio and template downloads for creators.","Storyblocks Unlimited gives access to a massive library of royalty-free stock video, audio, images and templates with unlimited downloads for content creation. Note: Storyblocks is a stock media library, not an AI video generator. It is different from AI tools such as Veo 3 or Runway ML that create video from text prompts. Use Storyblocks for ready-made clips, sound and templates to speed up editing; use an AI video generator when you need to create original footage from ideas.","4000","6000","33","/assets/product-icons/storyblocks-unlimited.png","Storyblocks Unlimited brand icon","https://www.storyblocks.com","0","Verified","no"
"coursera-premium","ATP-COURSERA","Coursera Premium","Coursera Premium","coursera-premium","Writing and SEO","Premium plan","1 month","1","Private access","WhatsApp activation","Full course access","Online courses; certifications; learning; skill building","Premium access to Coursera courses and certifications.","Coursera Premium provides access to thousands of online courses, professional certifications and learning paths from top universities and companies.","1000","1800","44","/assets/product-icons/coursera-premium.png","Coursera Premium brand icon","https://www.coursera.org","0","Verified","no"
"semrush-pro","ATP-SEMRUSH-PRO","SEMrush Pro","SEMrush Pro","semrush-pro","Marketing and Lead Generation","Pro plan","1 month","1","Private access","WhatsApp activation","SEO and marketing tools","SEO audit; keyword research; competitor analysis; backlink tracking","All-in-one SEO and marketing toolkit for keyword research and audits.","SEMrush Pro provides comprehensive SEO and digital marketing tools including keyword research, site audits, competitor analysis, backlink tracking and rank monitoring.","1500","2500","40","/assets/product-icons/semrush-pro.png","SEMrush Pro brand icon","https://www.semrush.com","0","Verified","no"
